VIN,Production date,Prod month,Country sold,Plant,Vehicle line,MY,Body style,Drive,Transmission,Engine
SAJAB4DN2HCP16454,13/03/2017,2017-03,Italy (IT),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN5HCP16206,09/03/2017,2017-03,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJBB4DN8HCY52673,06/03/2017,2017-03,Germany (DE),Castle Bromwich,XF (X260),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN4HCP15368,01/03/2017,2017-03,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN1HCP15358,01/03/2017,2017-03,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN9HCP15351,01/03/2017,2017-03,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DNXHCP15343,01/03/2017,2017-03,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN8HCP15339,01/03/2017,2017-03,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN8HCP15325,28/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN6HCP15307,28/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN4HCP15287,28/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN8HCP15261,28/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN0HCP15254,28/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DNXHCP15245,28/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN9HCP14538,20/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN2HCP14378,17/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN3HCP14289,16/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN1HCP14274,16/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN0HCP14086,14/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN2HCP14042,14/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJBB4DN6HCY51490,13/02/2017,2017-02,United Kingdom (GB),Castle Bromwich,XF (X260),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN7HCP13825,13/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN5HCP13807,10/02/2017,2017-02,France (FR),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN8HCP13803,10/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN8HCP13641,09/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN2HCP13554,08/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN5HCP13550,08/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN8HCP13428,07/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN2HCP13411,07/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DN5HCP13399,07/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
SAJAB4DNXHCP13222,06/02/2017,2017-02,Spain (ES),Castle Bromwich,XE (X760),2017,4 Door Saloon (C/HD),2 Wheel Rear LHD (C/B),6SPD MANUAL TRANS ZF6S-45 (C/EP),2.0 AJ20-D4M (C/U6)
